[Header]																																																																		
Data File Name	C:\path\to\files\sample_1.qgd																																																																	
Output Date	01.03.2022																																																																	
Output Time	03:22:15																																																																	
																																																																		
[MS Quantitative Results]																																																																		
# of IDs	80																																																																	
ID#	Name	Type	ISTD Group#	Mass	Ret.Time	Start Time	End Time	A/H	Area	Height	Conc.	Mode	Peak#	Std.Ret.Time	Calibration Curve	3rd	2nd	1st	Constant	Ref.Ion Area	Ref.Ion Height	Ref.Ion Set Ratio	Ref.Ion Ratio	Recovery	SI	Ref.Ion1 m/z	Ref.Ion1 Area	Ref.Ion1 Height	Ref.Ion1 Set Ratio	Ref.Ion1 Ratio	Ref.Ion2 m/z	Ref.Ion2 Area	Ref.Ion2 Height	Ref.Ion2 Set Ratio	Ref.Ion2 Ratio	Ref.Ion3 m/z	Ref.Ion3 Area	Ref.Ion3 Height	Ref.Ion3 Set Ratio	Ref.Ion3 Ratio	Ref.Ion4 m/z	Ref.Ion4 Area	Ref.Ion4 Height	Ref.Ion4 Set Ratio	Ref.Ion4 Ratio	Ref.Ion5 m/z	Ref.Ion5 Area	Ref.Ion5 Height	Ref.Ion5 Set Ratio	Ref.Ion5 Ratio	Ret. Index	S/N	Unit	Description	Threshold	Tailing	Ref.Ion1 S/N	Ref.Ion2 S/N	Ref.Ion3 S/N	Ref.Ion4 S/N	Ref.Ion5 S/N	ISTD Name	ISTD Area	ISTD Height	ISTD Ret.Time	Noise
1	.E_Hexadec_2_enal 	Target	0	43	Not Identified									8.78																																						7.2														24376.5
2	".delta._Terpineol, acetate "	Target	0	43	Not Identified									10.51																																						9.14														69551.05
3	"1_Penten_3_ol, 1_phenyl_ "	Target	0	133	15.598	15.56	15.64	1.37	884977	643922	0	Auto	14	15.583						0	0	82.01	86.4	0	98	162	0	0	82.01	86.4	134	0	0	50.79	52.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1368	181.98	ppm		0	0.984										3538.429
4	2_Ethyl_1_hexanol	Target	0	57	10.199	10.15	10.237	1.84	4156657	2254492	0	Auto	18	10.18						0	0	32.95	29.86	0	97	41	0	0	32.95	29.86	43	0	0	29.03	28.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1030	15.2	ppm		0	0.914										148349.552
5	2_Ethylhexanal	Target	0	57	Not Identified									8.67																																						0.84														26441.062
6	3_Methylapopinene	Target	0	93	8.229	8.163	8.327	3.67	731780	199521	0	Auto	28	8.193						0	0	37.61	37.96	0	97	92	0	0	37.61	37.96	91	0	0	35.12	35.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	924	19.13	ppm		0	1.167										10428.857
7	"4_Carene, (1S,3R,6R)_(_)_ "	Target	0	93	Not Identified									8.213																																						19.13														10428.857
8	"Acetate <hexyl_, 2_ethyl_>"	Target	0	43	12.291	12.26	12.327	1.4	429520	306796	0	Auto	38	12.277						0	0	55.25	82.75	0	89	70	0	0	55.25	82.75	57	0	0	53.38	53.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1148	12.24	ppm		0	0.994										25056.429
9	Acetophenone	Target	0	105	10.984	10.947	11.027	1.81	906641	501674	0	Auto	44	10.963						0	0	65.02	67.36	0	97	77	0	0	65.02	67.36	120	0	0	32.2	33.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1072	34.11	ppm		0	1.021										14708.75
10	Artemisia acetate	Target	0	127	Not Identified									12.597																																						0.34														32448.2
11	Artemisia alcohol	Target	0	86	Not Identified									11.25																																						2.25														11125.06
12	Artemisia ketone	Target	0	84	Not Identified									10.833																																						2.68														18693.667
13	Benmoxin 	Target	0	105	8.841	8.777	8.877	2.71	419736	155054	0	Auto	62	8.827						0	0	40.95	39.19	0	96	120	0	0	40.95	39.19	91	0	0	10.44	11.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	957	52.61	ppm		0	0.895										2947.111
14	Benzaldehyde	Target	0	105	8.919	8.877	8.977	3	762511	254147	0	Auto	68	8.9						0	0	93.36	89.58	0	96	106	0	0	93.36	89.58	77	0	0	81.19	77.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	961	86.24	ppm		0	1.167										2947.111
15	Benzaldehyde <para_ethoxy_>	Target	0	121	15.262	15.233	15.3	1.55	22261	14328	0	Auto	72	15.243						0	0	42.72	41.99	0	90	150	0	0	42.72	41.99	122	0	0	22.01	17.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1344	5.12	ppm		0	0.977										2800.951
16	"Benzene <1,4_diacetyl_>"	Target	0	147	16.63	16.597	16.67	1.43	90067	63022	0	Auto	77	16.617						0	0	38.95	33.38	0	95	91	0	0	38.95	33.38	43	0	0	30.63	28.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1445	26.76	ppm		0	1.051										2354.966
17	Benzoate <ethyl_>	Target	0	105	12.769	12.743	12.807	1.44	127111	88551	0	Auto	83	12.747						0	0	42.21	43.67	0	97	77	0	0	42.21	43.67	122	0	0	32.39	33.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1177	7.03	ppm		0	1.028										12595.862
18	Benzyl alcohol 	Target	0	79	10.362	10.3	10.413	2.3	80796	35141	0	Auto	89	10.343						0	0	92.53	74.38	0	76	108	0	0	92.53	74.38	107	0	0	61.78	55.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1039	2.01	ppm		0	0.787										17486.656
19	Borneol	Target	0	95	12.842	12.813	12.87	1.48	157721	106215	0	Auto	93	12.847						0	0	29.19	18.88	0	87	110	0	0	29.19	18.88	41	0	0	18.91	11.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1182	12.45	ppm		0	1.112										8532.563
20	Camphene	Target	0	93	8.607	8.533	8.677	3.37	207902	61692	0	Auto	97	8.64						0	0	69.83	57.97	0	83	121	0	0	69.83	57.97	79	0	0	34.51	38.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	944	13.46	ppm		0	1.019										4584.588
21	Camphor	Target	0	95	12.446	12.423	12.477	1.33	26181	19663	0	Auto	101	12.437						0	0	64.82	54.68	0	80	81	0	0	64.82	54.68	41	0	0	45.39	16.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1158	2.32	ppm		0	1.124										8464.845
22	Caparratriene	Target	0	95	16.352	16.333	16.383	1.61	9677	5992	0	Auto	108	16.333						0	0	95.85	98.19	0	93	121	0	0	95.85	98.19	93	0	0	55.49	41.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1424	1.48	ppm		0	1.328										4051.429
23	"Carbonic acid, eicosyl vinyl ester"	Target	0	57	Not Identified									10.287																																						2.18														187297.311
24	Carvone	Target	0	82	Not Identified									13.953																																						8.9														5057.4
25	Carvyl acetate <cis_>	Target	0	84	Not Identified									15.537																																						0.28														14157.091
26	Caryophyllene <beta_>	Target	0	93	16.41	16.38	16.44	1.32	33688	25522	0	Auto	128	16.507						0	0	81.49	68.05	0	88	133	0	0	81.49	68.05	41	0	0	77.07	70.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1428	9.03	ppm		0	1										2827.701
27	Caryophyllene <E_>	Target	0	93	16.41	16.38	16.44	1.47	40095	27295	0	Auto	133	16.5						0	0	82.89	68.05	0	88	133	0	0	82.89	68.05	41	0	0	82.36	70.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1428	9.05	ppm		0	1.115										3015.032
28	Cymene <para_>	Target	0	119	10.155	10.09	10.207	1.99	1354389	679048	0	Auto	138	10.167						0	0	70.67	32.75	0	82	134	0	0	70.67	32.75	91	0	0	55.9	25.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1028	81	ppm		0	0.964										8382.931
29	"Dihydrocarveol <1,6_>"	Target	0	59	Not Identified									13.177																																						0.82														5782
30	"Dihydrojasmonate <methyl_, cis_>"	Target	0	83	Not Identified									19.25																																						2.96														8086
31	Dihydromyrcenol	Target	0	59	Not Identified									10.99																																						13.67														6624.2
32	Eucalyptol	Target	0	43	Not Identified									10.33																																						0.99														59685
33	Guaiene <alpha_>	Target	0	105	Not Identified									16.407																																						2.92														7631.49
34	Hept_5_en_2_one <6_methyl_>	Target	0	43	9.341	9.287	9.41	2.42	760398	314149	0	Auto	167	9.33						0	0	55.18	58.15	0	94	41	0	0	55.18	58.15	108	0	0	45.6	44.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	984	6.95	ppm		0	1.25										45199.438
35	Heptanone<5_methyl_3_>	Target	0	43	Not Identified									8.387																																						4.37														40142.571
36	Hex_(3Z)_enyl acetate	Target	0	43	9.732	9.69	9.78	2.1	1179427	562232	0	Auto	178	9.737						0	0	97.3	70.83	0	87	67	0	0	97.3	70.83	82	0	0	75.59	42.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1005	7.23	ppm		0	1.045										77811.979
37	"Hexanal, 2_ethyl_ "	Target	0	57	Not Identified									8.69																																						0.4														70434.086
38	Hydroxy citronellyl tiglate	Target	0	83	Not Identified									8.757																																						2.39														3804.674
39	Hydroxycitronellol	Target	0	59	Not Identified									15.4																																						6.63														2608
40	Indan_5_ol	Target	0	133	15.11	15.073	15.153	1.4	170894	122109	0	Auto	197	15.093						0	0	81.52	79.04	0	96	162	0	0	81.52	79.04	134	0	0	52.9	51.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1333	0.51	ppm		0	1.054										239470.8
41	Indane 	Target	0	117	10.376	10.327	10.423	1.98	258439	130522	0	Auto	203	10.347						0	0	60.69	61.2	0	90	118	0	0	60.69	61.2	79	0	0	40.55	14.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1040	18.08	ppm		0	0.969										7217.471
42	Isopropyl myristate 	Target	0	43	Not Identified									21.08																																						2.67														8728.8
43	Isopropyl palmitate 	Target	0	43	Not Identified									23.11																																						0.49														7653.2
44	Limonene	Target	0	68	10.243	10.157	10.29	2.14	1303261	609826	0	Auto	219	10.267						0	0	77.6	72.62	0	97	93	0	0	77.6	72.62	67	0	0	72.7	72.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1032	60.94	ppm		0	0.756										10006.744
45	"Linalool <ethyl_, (E)_>"	Target	0	55	Not Identified									13.07																																						1.21														30851.917
46	Linalool isobutyrate	Target	0	93	10.537	10.503	10.567	1.65	27811	16840	0	Auto	228	10.527						0	0	63.02	62.31	0	87	43	0	0	63.02	62.31	41	0	0	54.41	40.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1048	1.73	ppm		0	0.929										9712.474
47	Linalyl acetate	Target	0	93	Not Identified									8.193																																						19.13														10428.857
48	Longifolene_(V4)	Target	0	57	Not Identified									15.893																																						0.9														43256.9
49	Maaliene <gamma_>	Target	0	161	16.409	16.377	16.457	1.47	47738	32435	0	Auto	245	16.39						0	0	88.61	67.88	0	96	105	0	0	88.61	67.88	94	0	0	86.94	81.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1428	7.85	ppm		0	1.111										4134.292
50	Menthol	Target	0	71	12.89	12.867	12.92	1.46	70410	48185	0	Auto	247	12.87						0	0	96.12	89.97	0	96	81	0	0	96.12	89.97	95	0	0	84.81	77.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1184	1.59	ppm		0	1.047										30312.55
51	Mesitylene	Target	0	105	9.544	9.48	9.6	2.35	553205	235638	0	Auto	253	9.52						0	0	49.28	54.33	0	93	120	0	0	49.28	54.33	119	0	0	10.57	6.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	995	2.24	ppm		0	0.95										105039.936
52	Methyl oxalate	Target	0	59	9.862	9.82	9.943	2.48	949871	383017	0	Auto	258	9.863						0	0	13.53	13.98	0	96	31	0	0	13.53	13.98	45	0	0	10.44	10.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1012	53.83	ppm		0	1.32										7115.5
53	Myrcene	Target	0	69	Not Identified									9.447																																						13.54														23632.471
54	Myroxide 	Target	0	79	Not Identified									12.183																																						0.92														4539.345
55	"Nicotinonitrile, 1_ethyl_1,4_dihydro_ "	Target	0	133	Not Identified									13.537																																						7.86														5274.273
56	Nonanal 	Target	0	57	11.613	11.587	11.65	1.56	1705788	1095021	0	Auto	279	11.593						0	0	70.64	71.54	0	99	41	0	0	70.64	71.54	56	0	0	63.27	62.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1107	10.78	ppm		0	0.967										101537.818
57	Palmitate <ethyl_>	Target	0	88	Not Identified									22.83																																						3.76														515.135
58	Pelargol	Target	0	69	11.128	11.1	11.16	1.58	102514	64922	0	Auto	289	11.03						0	0	77.69	95.07	0	93	57	0	0	77.69	95.07	43	0	0	74.01	93.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1080	2.34	ppm		0	1.013										27713.122
59	Phenethyl alcohol	Target	0	91	11.807	11.783	11.83	1.4	21693	15494	0	Auto	294	11.783						0	0	60.52	58.93	0	94	92	0	0	60.52	58.93	122	0	0	27.31	22.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1119	1.92	ppm		0	1.03										8068
60	Phenethyl isocyanate 	Target	0	91	19.007	18.983	19.047	1.41	133097	94289	0	Auto	297	18.993						0	0	20.07	18.43	0	93	105	0	0	20.07	18.43	147	0	0	16.25	18.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1636	15.38	ppm		0	0.999										6131
61	Phytone	Target	0	43	Not Identified									21.31																																						0.79														10429
62	Pinene <alpha_>	Target	0	93	8.229	8.163	8.327	3.67	731780	199521	0	Auto	306	8.27						0	0	40.31	37.96	0	96	92	0	0	40.31	37.96	91	0	0	39.27	35.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	924	18.62	ppm		0	1.167										10715.935
63	Sabinene	Target	0	93	Not Identified									9.117																																						0.21														44719.444
64	Sabinene hydrate <cis_>	Target	0	43	Not Identified									11.037																																						0.94														109235
65	Sabinol isovalerate 	Target	0	91	17.943	17.917	17.977	1.39	52049	37401	0	Auto	324	17.923						0	0	25.57	25.32	0	84	133	0	0	25.57	25.32	105	0	0	11.68	11.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1548	4.5	ppm		0	1.029										8319.286
66	Salicylate <2_ethylhexyl_>	Target	0	120	Not Identified									21																																						4.6														1983.125
67	Salicylate <hexyl_>	Target	0	120	19.633	19.597	19.667	1.41	56031	39645	0	Auto	335	19.617						0	0	45.07	40.74	0	88	138	0	0	45.07	40.74	121	0	0	24.18	13.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1690	26.48	ppm		0	1.037										1497.202
68	Salicylate <methyl_>	Target	0	120	13.163	13.13	13.187	1.6	33400	20916	0	Auto	337	13.153						0	0	57.38	60.88	0	90	92	0	0	57.38	60.88	152	0	0	50.95	49.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1201	20.5	ppm		0	0.984										1020.341
69	Stearate <ethyl_>	Target	0	88	Not Identified									24.72																																						0.49														524.52
70	"Succinic acid, 2,2_dimethylpent_3_yl 2_methylhex_3_yl ester"	Target	0	99	Not Identified									10.123																																						1.66														9359.48
71	Terpineol <alpha_>	Target	0	59	Not Identified									13.173																																						0.82														5782
72	Thujene <alpha_>	Target	0	93	8.229	8.163	8.327	3.67	731780	199521	0	Auto	358	8.2						0	0	38.17	37.96	0	97	92	0	0	38.17	37.96	91	0	0	34.72	35.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	924	19.13	ppm		0	1.167										10428.857
73	Thujone <beta_>	Target	0	110	11.899	11.827	11.94	1.63	554781	340864	0	Auto	364	11.877						0	0	84.63	87.73	0	96	81	0	0	84.63	87.73	95	0	0	75.89	79.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1124	192.93	ppm		0	0.993										1766.744
74	Toscanol	Target	0	121	Not Identified									15.447																																						0.83														3299.526
75	trans_Geranylacetone	Target	0	43	16.876	16.79	16.913	3.15	147621	46868	0	Auto	371	16.72						0	0	41.53	15.25	0	77	69	0	0	41.53	15.25	41	0	0	34.31	48.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1464	0.79	ppm		0	0.674										59342.187
76	trans_Sesquisabinene hydrate 	Target	0	85	Not Identified									18.883																																						1.38														20659.121
77	Unknown_KI_943	Target	0	95	8.594	8.543	8.667	2.67	287689	107850	0	Auto	381	8.573						0	0	41.33	48.61	0	94	93	0	0	41.33	48.61	67	0	0	34.05	41.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	944	15.54	ppm		0	1.201										6938.636
78	"Vanillin, 2_methylpropyl ether"	Target	0	151	Not Identified									16.15																																						6.22														845.605
79	"Vanillin, isopropyl ether"	Target	0	151	Not Identified									16.16																																						6.22														845.605
80	Verdyl acetate	Target	0	66	16.488	16.447	16.527	1.7	25117	14763	0	Auto	398	16.467						0	0	71.07	49.63	0	93	59	0	0	71.07	49.63	43	0	0	70.54	82.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1434	14.27	ppm		0	1.008										1034.846
																																																																		
[Header]																																																																		
Data File Name	C:\path\to\files\sample_2.qgd																																																																	
Output Date	01.03.2022																																																																	
Output Time	03:22:18																																																																	
																																																																		
[MS Quantitative Results]																																																																		
# of IDs	80																																																																	
ID#	Name	Type	ISTD Group#	Mass	Ret.Time	Start Time	End Time	A/H	Area	Height	Conc.	Mode	Peak#	Std.Ret.Time	Calibration Curve	3rd	2nd	1st	Constant	Ref.Ion Area	Ref.Ion Height	Ref.Ion Set Ratio	Ref.Ion Ratio	Recovery	SI	Ref.Ion1 m/z	Ref.Ion1 Area	Ref.Ion1 Height	Ref.Ion1 Set Ratio	Ref.Ion1 Ratio	Ref.Ion2 m/z	Ref.Ion2 Area	Ref.Ion2 Height	Ref.Ion2 Set Ratio	Ref.Ion2 Ratio	Ref.Ion3 m/z	Ref.Ion3 Area	Ref.Ion3 Height	Ref.Ion3 Set Ratio	Ref.Ion3 Ratio	Ref.Ion4 m/z	Ref.Ion4 Area	Ref.Ion4 Height	Ref.Ion4 Set Ratio	Ref.Ion4 Ratio	Ref.Ion5 m/z	Ref.Ion5 Area	Ref.Ion5 Height	Ref.Ion5 Set Ratio	Ref.Ion5 Ratio	Ret. Index	S/N	Unit	Description	Threshold	Tailing	Ref.Ion1 S/N	Ref.Ion2 S/N	Ref.Ion3 S/N	Ref.Ion4 S/N	Ref.Ion5 S/N	ISTD Name	ISTD Area	ISTD Height	ISTD Ret.Time	Noise
1	.E_Hexadec_2_enal 	Target	0	43	Not Identified									8.78																																						28.64														33749.38
2	".delta._Terpineol, acetate "	Target	0	43	Not Identified									10.51																																						4.62														205229.607
3	"1_Penten_3_ol, 1_phenyl_ "	Target	0	133	15.597	15.567	15.633	1.36	475601	348692	0	Auto	15	15.583						0	0	82.01	81.07	0	98	162	0	0	82.01	81.07	134	0	0	50.79	52.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1368	23.52	ppm		0	1.016										14827.625
4	2_Ethyl_1_hexanol	Target	0	57	10.201	10.157	10.243	1.79	5460390	3045664	0	Auto	19	10.18						0	0	32.95	33.05	0	99	41	0	0	32.95	33.05	43	0	0	29.03	28.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1030	10.4	ppm		0	0.979										292771
5	2_Ethylhexanal	Target	0	57	Not Identified									8.67																																						0.89														35424.375
