[Header Info Signal 1 COLT 3.0]
"champor_std_20_P2a.D","Weber","D:\GCMS_Daten\Ringtrial\Ringversuch21\210422_cal#01a\",[GC],0
23 Apr 2021  17:51    ,210420_Ring21_liq_sync.M,7
"sample"," "," ","GC MSD"
" "
" ",Wed Oct 27 14:41:34 2021

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"champor_std_20_P2a.D","Weber","D:\GCMS_Daten\Ringtrial\Ringversuch21\210422_cal#01a\"
23 Apr 2021  17:51    ,210420_Ring21_liq_sync.M,7
"sample"," "," ","GC MSD"
" "
" ",Wed Oct 27 14:41:34 2021

 , , , , , 
 , , , , , 
[Results - Ringtrial _Auswertung.RES]
"RI_933_unknown_monoterpene TIC",0,0.000,0.00
"RI_933_unknown_monoterpene EIC",0,0.000,0.00
"RI_933_unknown_monoterpene SIM",0,0.000,0.00
"pinene_a TIC",0,0.000,0.00
"pinene_a EIC",120536,13.310,0.00
"pinene_a SIM",133231,13.309,0.00
"RI_960_unknown_monoterpene TIC",28207,13.704,0.00
"RI_960_unknown_monoterpene EIC",0,0.000,0.00
"RI_960_unknown_monoterpene SIM",0,0.000,0.00
"camphene TIC",47043,13.704,0.00
"camphene EIC",0,0.000,0.00
"camphene SIM",0,0.000,0.00
"RI_975_unknown_monoterpene TIC",1351077,13.927,0.00
"RI_975_unknown_monoterpene EIC",0,0.000,0.00
"RI_975_unknown_monoterpene SIM",0,0.000,0.00
"sabinene TIC",0,0.000,0.00
"sabinene EIC",0,0.000,0.00
"sabinene SIM",0,0.000,0.00
"pinene_b TIC",76514,14.086,0.00
"pinene_b EIC",0,0.000,0.00
"pinene_b SIM",0,0.000,0.00
"6-methyl-5-hepten-2-one TIC",0,0.000,0.00
"6-methyl-5-hepten-2-one EIC",0,0.000,0.00
"sabinene_1 TIC",0,0.000,0.00
"sabinene_1 EIC",0,0.000,0.00
"sabinene_1 SIM",0,0.000,0.00
"mycrene TIC",2881,14.291,0.00
"mycrene EIC",0,0.000,0.00
"mycrene SIM",0,0.000,0.00
"decane TIC",0,0.000,0.00
"decane EIC",0,0.000,0.00
"hexyl_acetate TIC",0,0.000,0.00
"hexyl_acetate EIC",34808,14.673,0.00
"methyldecane_2 TIC",178667,14.583,0.00
"methyldecane_2 EIC",26415,14.586,0.00
"RI_1019_unknown_monoterpene TIC",43249,14.752,0.00
"RI_1019_unknown_monoterpene EIC",0,0.000,0.00
"RI_1019_unknown_monoterpene SIM",0,0.000,0.00
"RI_1030_unknown TIC",0,0.000,0.00
"RI_1030_unknown EIC",0,0.000,0.00
"cymene_p TIC",13369,14.997,0.00
"cymene_p EIC",0,0.000,0.00
"limonene TIC",16001,15.167,0.00
"limonene EIC",0,0.000,0.00
"limonene SIM",93997,15.118,0.00
"eucalyptol TIC",0,0.000,0.00
"eucalyptol EIC",0,0.000,0.00
"eucalyptol SIM",0,0.000,0.00
"RI_1066_unknown_monoterpen TIC",0,0.000,0.00
"RI_1066_unknown_monoterpen EIC",0,0.000,0.00
"RI_1066_unknown_monoterpen SIM",717700,15.609,0.00
"sabinene_hydrate_E TIC",2071524,15.813,0.00
"sabinene_hydrate_E EIC",106598,15.817,0.00
"sabinene_hydrate_E SIM",1564947,15.610,0.00
"acetophenone TIC",238755,15.894,0.00
"acetophenone EIC",0,0.000,0.00
"nonanal TIC",318005,16.373,0.00
"nonanal EIC",546655,16.294,0.00
"RI_1118_unknown TIC",973496,16.497,0.00
"RI_1118_unknown EIC",0,0.000,0.00
"thujone_a TIC",853707,16.497,0.00
"thujone_a EIC",0,0.000,0.00
"thujone_b TIC",969942,16.652,0.00
"thujone_b EIC",0,0.000,0.00
"champhor TIC",97280984,17.251,0.00
"champhor EIC",18496517,17.251,0.00
"borneol TIC",335377,17.663,0.00
"borneol EIC",57873,17.660,0.00
"dodecane TIC",325168,17.840,0.00
"dodecane EIC",0,0.000,0.00
"methylsalicylate TIC",296065,17.912,0.00
"methylsalicylate EIC",0,0.000,0.00
"decanal TIC",0,0.000,0.00
"decanal EIC",0,0.000,0.00
"RI_1276_unknown TIC",6486278,18.968,0.00
"RI_1302_unknown TIC",787652,19.364,0.00
"RI_1312_unknown TIC",504078,19.490,0.00
"1-Bromo-Decane TIC",0,0.000,0.00
"1-Bromo-Decane EIC",0,0.000,0.00
"RI_1365_unknown_sequiterpene TIC",111672,20.215,0.00
"RI_1365_unknown_sequiterpene EIC",0,0.000,0.00
"RI_1365_unknown_sequiterpene SIM",0,0.000,0.00
"RI_1374_unknown_sesquiterpene TIC",109771,20.342,0.00
"RI_1374_unknown_sesquiterpene",0,0.000,0.00
"RI_1374_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1386_unknown_sesquiterpene TIC",293462,20.429,0.00
"RI_1386_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1386_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1404_unknown_sesquiterpene TIC",255407,20.760,0.00
"RI_1404_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1404_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1414_unknown_sesquiterpene TIC",0,0.000,0.00
"RI_1414_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1414_unknown_sesquiterpene SIM",0,0.000,0.00
"caryophyllene_b TIC",333555,21.357,0.00
"caryophyllene_b EIC",0,0.000,0.00
"caryophyllene_b SIM",10633,21.358,0.00
"RI_1504_unknown_sesquiterpene TIC",7453567,22.029,0.00
"RI_1504_unknown_sesquiterpene EIC",0,0.000,0.00
"RI_1504_unknown_sesquiterpene SIM",0,0.000,0.00
"RI_1514_unknown TIC",503216,22.195,0.00
"RI_1514_unknown EIC",85319,22.261,0.00
"RI_1520_unknown_sesquiterpene TIC",1386601,22.269,0.00
"RI_1520_unknown_sesquiterpene EIC",13077,22.174,0.00
"RI_1520_unknown_sesquiterpene SIM",66039,22.164,0.00
"RI_1536_unknown TIC",6609845,22.469,0.00
"RI_1536_unknown EIC",0,0.000,0.00
"farnesen_a TIC",1666256,22.720,0.00
"farnesen_a EIC",31582,22.711,0.00
"farnesen_a SIM",36719,22.728,0.00
[Header Info Signal 1 COLT 3.0]
"champor_std_20_P2b.D","Weber","D:\GCMS_Daten\Ringtrial\Ringversuch21\210422_cal#01a\",[GC],0
23 Apr 2021  18:31    ,210420_Ring21_liq_sync.M,7
"sample"," "," ","GC MSD"
" "
" ",Wed Oct 27 14:41:34 2021

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"champor_std_20_P2b.D","Weber","D:\GCMS_Daten\Ringtrial\Ringversuch21\210422_cal#01a\"
23 Apr 2021  18:31    ,210420_Ring21_liq_sync.M,7
"sample"," "," ","GC MSD"
" "
" ",Wed Oct 27 14:41:34 2021

 , , , , , 
 , , , , , 
[Results - Ringtrial _Auswertung.RES]
"RI_933_unknown_monoterpene TIC",0,0.000,0.00
"RI_933_unknown_monoterpene EIC",0,0.000,0.00
"RI_933_unknown_monoterpene SIM",0,0.000,0.00
"pinene_a TIC",0,0.000,0.00
"pinene_a EIC",119654,13.309,0.00
"pinene_a SIM",129954,13.309,0.00
"RI_960_unknown_monoterpene TIC",7900,13.665,0.00
"RI_960_unknown_monoterpene EIC",0,0.000,0.00
"RI_960_unknown_monoterpene SIM",0,0.000,0.00
"camphene TIC",36379,13.708,0.00
